"word","resp"
"life","life;Science ;Disease ;File ;5;5;5;3"
"art","art;Smart;Music;Mozart ;3;4;5;3"
"biology","biology;Life ;Cell;Gene;5;5;5;5"
"mathematics","mathematics;Matrix ;Topology ;Graph;5;5;5;4"
"complex","complex;System ;Chaos;Swarm;4;5;5;3"
"chemistry","chemistry;Reaction;Mendeleyew ;Kinetics ;5;5;3;3"
"physics","physics;Hamiltonian;Newton ;Equation ;4;5;4;3"
"university","university;Research ;Professor ;Programming ;5;5;4;4"
"school","school;Teacher;Classroom ;Exam;3;3;2;1"
"system","system;Biology;Dynamical ;Approach ;4;5;5;3"
"age","59"
"gender","M"
"nationality","German "
"job","Researcher "
