status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
RETURNED,72225.181516,32,140,3,98,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,3338.872,36,12,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1879.668,37,250,9,95,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1509.79,29,152,2,99,Canada,Canada,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1632.89,25,56,1,100,United States,United States,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United States,Male,No,I was raised with my native language only
AWAITING REVIEW,1284.133,18,48,0,100,United States,United States,Full-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1220.085,19,47,1,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2567.312,29,122,4,97,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2853.757,37,152,0,100,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,High school diploma/A-levels,United States,Male,No,I was raised with my native language only
AWAITING REVIEW,3479.451,35,51,0,100,New Zealand,New Zealand,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,New Zealand,Male,No,I was raised with my native language only
AWAITING REVIEW,1514.251,18,71,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1829.187,20,10,0,100,United States,United States,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1861.555,34,23,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1208.189,22,182,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2535.712,19,235,2,100,United States,United States,Other,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United States,Male,Yes,I was raised with my native language only
AWAITING REVIEW,2620.559,21,60,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,2571.433,49,55,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1092.332,19,45,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1461.429,31,201,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3258.376,38,162,2,99,Canada,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
RETURNED,70497.196214,35,694,8,99,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1434.512,30,72,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2109.794,23,135,2,99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2069.615,49,66,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1033.698,29,328,2,100,United States,United States,Part-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1396.576,31,35,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2449.193,43,177,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2663.619,49,77,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1168.032,30,19,1,99,United Kingdom,United Kingdom,DATA EXPIRED,I only know English,DATA EXPIRED,English,Ambidextrous,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,2385.127,48,482,3,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1774.306,43,71,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Left-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1137.915,35,161,2,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Left-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
TIMED-OUT,70856.574534,42,21,1,98,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,3628.763,34,121,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3055.601,46,21,0,100,Canada,Canada,Full-Time,I know one other language in addition to English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,3597.168,20,96,1,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1540.77,47,54,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1481.694,27,34,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1565.365,27,336,3,98,United States,United States,Unemployed (and job seeking),I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,956.306,19,24,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I know one other language in addition to English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1337.127,20,84,3,96,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1194.145,28,37,1,99,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1830.936,33,12,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,4237.794,30,48,1,100,United States,United States,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,2410.13,45,58,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1938.799,35,17,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1089.369,20,54,2,98,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1587.826,49,216,4,98,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2687.246,41,2,0,100,United Kingdom,,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1225.605,37,79,1,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1623.858,26,46,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1062.107,24,168,0,100,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2093.557,32,74,2,96,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Left-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1552.198,36,70,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1337.464,23,47,0,100,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1231.101,30,246,1,100,United States,United States,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1591.472,24,27,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1349.984,27,724,5,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3116.404,34,333,1,100,Canada,Canada,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,No,I was raised with my native language only
AWAITING REVIEW,2550.272,48,205,2,100,Canada,Canada,Part-Time,I only know English,English,English,Right-handed,Technical/community college,Canada,Male,No,I was raised with my native language only
AWAITING REVIEW,1492.145,49,412,0,100,United Kingdom,United Kingdom,Part-Time,I know 2 or more languages in addition to English,English,English,Right-handed,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,4046.35,20,5,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Technical/community college,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,2072.133,30,42,1,100,Canada,Canada,Part-Time,I only know English,DATA EXPIRED,English,Left-handed,Technical/community college,Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,4174.175,39,208,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1194.933,24,49,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1996.45,35,203,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Left-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1573.27,28,297,2,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1178.904,41,148,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,5533.255,40,200,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1147.774,33,672,13,97,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2087.335,34,78,0,100,Canada,Canada,Full-Time,I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Technical/community college,Canada,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1187.226,27,167,2,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1653.423,34,57,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1751.506,49,30,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1816.401,38,229,6,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1788.435,29,318,1,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1745.687,23,10,0,100,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1488.974,35,68,0,100,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,1335.074,34,29,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1409.592,30,228,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
RETURNED,69488.880185,49,294,2,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1353.778,36,555,4,100,Canada,Canada,Full-Time,I know one other language in addition to English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,1904.102,20,3,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2535.694,20,73,1,99,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
