status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,1940.826,23,304,0,100,Canada,Canada,Unemployed (and job seeking),I only know English,English,,Right-handed,High school diploma/A-levels,Canada,Female,No,I was raised with my native language only
APPROVED,1181.814,19,193,1,100,United States,United States,Unemployed (and job seeking),I only know English,English,,Right-handed,High school diploma/A-levels,United States,Male,Yes,I was raised with my native language only
APPROVED,2433.501,27,77,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1145.841,26,87,0,100,United States,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
APPROVED,1417.018,39,104,4,94,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,5487.896,27,187,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
TIMED-OUT,30499.228894,38,308,6,97,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1935.022,32,259,11,96,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1153.642,27,232,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1749.265,19,109,2,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1862.489,40,41,0,100,Ireland,United Kingdom,Full-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),Ireland,Female,No,I was raised with my native language only
