participant_id,start_time,completion_time,stimulus,query_c1,c1_contribution,query_c2,c2_contribution,query_comp,comp
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,火灾事故,“火灾”对这个词的语义贡献了多少？,4,“事故”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,房屋建筑,“房屋”对这个词的语义贡献了多少？,5,“建筑”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,生物农药,”生物”对这个词的语义贡献了多少？,3,“农药”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,篱笆墙,“篱笆”对这个词的语义贡献了多少？,4,“墙”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,地理信息,“地理”对这个词的语义贡献了多少？,4,“信息”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,林业机械,“林业”对这个词的语义贡献了多少？,3,“机械”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,市场导向,“市场”对这个词的语义贡献了多少？,3,“导向”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,3
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,党纲,“党”对这个词的整体语义贡献了多少？,3,“纲”对这个词的语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,农村教师,“农村”对这个词的语义贡献了多少？,3,“教师”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,中学校长,“中学”对这个词的语义贡献了多少？,3,“校长”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,矿山,“矿”对这个词的语义贡献了多少？,5,“山”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,散文诗,“散文”对这个词的语义贡献了多少？,4,“诗”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-10 14:21:52,2024-09-10 14:26:04,热门话题,“热门”对这个词的语义贡献了多少？,3,“话题”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
