WorkerId,WorkTimeInSeconds,correct,item,zone,RT
ARGHS9P7FVR3W,2166,6,3,1,1190
ARGHS9P7FVR3W,2166,6,3,2,440
ARGHS9P7FVR3W,2166,6,3,3,550
ARGHS9P7FVR3W,2166,6,3,4,480
ARGHS9P7FVR3W,2166,6,3,5,430
ARGHS9P7FVR3W,2166,6,3,6,470
ARGHS9P7FVR3W,2166,6,3,7,470
ARGHS9P7FVR3W,2166,6,3,8,440
ARGHS9P7FVR3W,2166,6,3,9,410
ARGHS9P7FVR3W,2166,6,3,10,380
ARGHS9P7FVR3W,2166,6,3,11,510
ARGHS9P7FVR3W,2166,6,3,12,510
ARGHS9P7FVR3W,2166,6,3,13,390
ARGHS9P7FVR3W,2166,6,3,14,650
ARGHS9P7FVR3W,2166,6,3,15,2750
ARGHS9P7FVR3W,2166,6,3,16,500
ARGHS9P7FVR3W,2166,6,3,17,470
ARGHS9P7FVR3W,2166,6,3,18,400
ARGHS9P7FVR3W,2166,6,3,19,430
ARGHS9P7FVR3W,2166,6,3,20,510
ARGHS9P7FVR3W,2166,6,3,21,470
ARGHS9P7FVR3W,2166,6,3,22,450
ARGHS9P7FVR3W,2166,6,3,23,530
ARGHS9P7FVR3W,2166,6,3,24,730
ARGHS9P7FVR3W,2166,6,3,25,560
ARGHS9P7FVR3W,2166,6,3,26,420
ARGHS9P7FVR3W,2166,6,3,27,410
ARGHS9P7FVR3W,2166,6,3,28,550
ARGHS9P7FVR3W,2166,6,3,29,520
ARGHS9P7FVR3W,2166,6,3,30,500
ARGHS9P7FVR3W,2166,6,3,31,400
ARGHS9P7FVR3W,2166,6,3,32,410
ARGHS9P7FVR3W,2166,6,3,33,690
ARGHS9P7FVR3W,2166,6,3,34,950
ARGHS9P7FVR3W,2166,6,3,35,540
ARGHS9P7FVR3W,2166,6,3,36,500
ARGHS9P7FVR3W,2166,6,3,37,570
ARGHS9P7FVR3W,2166,6,3,38,430
ARGHS9P7FVR3W,2166,6,3,39,470
ARGHS9P7FVR3W,2166,6,3,40,450
ARGHS9P7FVR3W,2166,6,3,41,740
ARGHS9P7FVR3W,2166,6,3,42,400
ARGHS9P7FVR3W,2166,6,3,43,640
ARGHS9P7FVR3W,2166,6,3,44,530
