"ID","word","response","instruction_type","count","cosine","rank","existence","centroid"
"60f154e3b41e8202276ccc73","desire","lust-longing",1,2,0.154695576219997,4866,"novel compounds",8
"60f154e3b41e8202276ccc73","pregnancy","human-belly",1,2,0.10963624700519,5500,"novel compounds",10
"60f154e3b41e8202276ccc73","sympathy","sorrow-understanding",1,2,0.24236646465816,1058,"novel compounds",1
"60f154e3b41e8202276ccc73","destiny","future-goal",1,2,0.0938454706407683,8432,"novel compounds",1
"60f154e3b41e8202276ccc73","genius","clever-person",1,2,0.178416318411165,2864,"novel compounds",4
"60f154e3b41e8202276ccc73","size","physical-dimensions",1,2,0.153713170584332,2640,"novel compounds",4
"60f154e3b41e8202276ccc73","mix","combination-differences",1,2,0.191388928346231,2124,"novel compounds",1
"60f154e3b41e8202276ccc73","operation","body-fix",1,2,0.0292908340345436,15026,"novel compounds",7
"60f154e3b41e8202276ccc73","promotion","job-progression",1,2,0.190583404736554,1994,"novel compounds",2
"60f154e3b41e8202276ccc73","sword","mythical-tool",1,2,0.114656512603316,7047,"novel compounds",1
"60f154e3b41e8202276ccc73","basis","foundation-start",1,2,0.164621190246757,3646,"novel compounds",84
"60f154e3b41e8202276ccc73","breast","female-lumps",1,2,0.0952709811084984,8507,"novel compounds",2
"60f154e3b41e8202276ccc73","maintenance","ongoing-care",1,2,0.134800965520078,4781,"novel compounds",1
"60f154e3b41e8202276ccc73","accent","distinct-dialect",1,2,0.115947093858191,6123,"novel compounds",2
"60f154e3b41e8202276ccc73","label","identifying-note",1,2,0.124895700084832,3651,"novel compounds",7
"60f154e3b41e8202276ccc73","inventor","ideasman",1,2,0.191144604420789,1300,"novel compounds",1
"60f154e3b41e8202276ccc73","storm","weatherstark",1,2,0.115091713515779,6514,"novel compounds",1
"60f154e3b41e8202276ccc73","acid","fireygel",1,2,0.112150744331987,8610,"novel compounds",1
"60f154e3b41e8202276ccc73","transcript","worddings",1,2,0.0648709171928808,8532,"completely novel",145
"60f154e3b41e8202276ccc73","storm","crazyair",1,2,0.118241189376209,6182,"novel compounds",1
"60f154e3b41e8202276ccc73","cancer","bodylumps",1,2,0.0714036689526151,11381,"novel compounds",20
"60f154e3b41e8202276ccc73","colony","peopleings",1,2,0.0914091525502585,9101,"completely novel",19
"60f154e3b41e8202276ccc73","pain","nastfeel",1,2,0.0502164305321661,14221,"novel compounds",3
"60f154e3b41e8202276ccc73","policeman","mainman",2,1,0.0870569343223574,11334,"completely novel",2
"60f154e3b41e8202276ccc73","assignment","givetask",1,2,0.178414679417017,2241,"novel compounds",2
"60f154e3b41e8202276ccc73","assassination","gonebang",1,2,0.0362140261843792,14480,"novel compounds",11
"60f154e3b41e8202276ccc73","pie","pastryum",1,2,0.182870388381935,1832,"completely novel",1
"60f154e3b41e8202276ccc73","politics","governing",0,1,0.332153857020108,250,"existing",8
"60f154e3b41e8202276ccc73","opponent","foe",0,1,0.611155053040603,1,"existing",2
"60f154e3b41e8202276ccc73","limb","arm",0,1,0.454871504177658,3,"existing",9
"60f154e3b41e8202276ccc73","victim","abused",0,1,0.371799366994161,87,"existing",1
