status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First language,First Language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,3892.537,33,202,0,100,United States,United States,Due to start a new job within the next month,I only know English,English,English,Right-handed,Technical/community college,United States,Female,No,I was raised with my native language only
APPROVED,1849.302,46,44,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Ambidextrous,Technical/community college,United Kingdom,Prefer not to say,No,I was raised with my native language only
APPROVED,1006.38,19,9,1,98,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1772.096,24,338,0,100,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United States,Male,No,I was raised with my native language only
REJECTED,430.249,22,38,2,98,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
TIMED-OUT,318712.29837,18,35,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1197.371,24,92,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,621.692,32,239,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,960.716,26,136,0,100,United Kingdom,United Kingdom,DATA EXPIRED,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1617.898,37,116,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1261.277,25,78,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1154.663,42,21,0,100,United States,United States,Other,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Male,No,I was raised with my native language only
APPROVED,1356.09,41,231,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1197.98,20,137,1,99,United States,United States,Other,I only know English,English,DATA EXPIRED,Right-handed,High school diploma/A-levels,United States,Female,Yes,I was raised with my native language only
APPROVED,1188.179,39,138,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1019.434,29,270,3,98,United States,United States,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Female,No,I was raised with my native language only
