status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,2669.128,22,75,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,3169.615,25,79,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1508.687,36,72,3,97,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,900.838,38,35,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1170.286,29,46,1,97,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,649.072,36,242,4,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1553.954,23,64,3,96,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1374.365,37,111,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2043.842,41,265,0,100,Canada,Canada,Unemployed (and job seeking),I only know English,English,,Right-handed,Technical/community college,Canada,Male,No,I was raised with my native language only
APPROVED,1200.956,20,70,0,100,Canada,Canada,Unemployed (and job seeking),I only know English,English,English,Right-handed,No formal qualifications,Canada,Male,Yes,I was raised with my native language only
APPROVED,1291.716,38,310,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
