status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,1984.976,36,208,2,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1271.823,21,33,1,99,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
APPROVED,1439.775,45,130,0,100,Malaysia,United Kingdom,Part-Time,I only know English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1005.997,30,50,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,4974.323,24,50,0,100,United States,Portugal,Unemployed (and job seeking),I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
APPROVED,1314.315,32,44,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1664.697,36,5,0,100,Ireland,Ireland,Part-Time,I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),Ireland,Female,No,I was raised with my native language only
APPROVED,1139.176,22,70,0,100,Canada,Canada,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,Yes,I was raised with my native language only
APPROVED,2752.399,23,64,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1257.985,40,662,15,96,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1461.731,31,28,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1080.003,25,60,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
APPROVED,856.457,26,67,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Ambidextrous,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1139.833,30,75,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
APPROVED,1248.459,23,125,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
APPROVED,1374.396,21,103,2,99,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1614.076,20,154,1,100,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1140.853,39,366,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I know 2 or more languages in addition to English,English,,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,Yes,I was raised with my native language only
