status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First language,First Language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,1196.035,30,155,0,100,Canada,Canada,Full-Time,I know one other language in addition to English,,English,Right-handed,Technical/community college,Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2472.943,30,181,0,100,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3659.833,34,44,0,100,New Zealand,United Kingdom,Full-Time,I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),New Zealand,Male,No,I was raised with my native language only
AWAITING REVIEW,819.679,22,93,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
RETURNED,77117.451777,23,233,7,96,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,752.829,20,98,0,100,United Kingdom,United Kingdom,Other,I know one other language in addition to English,English,English,Right-handed,No formal qualifications,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1365.249,29,98,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,740.791,22,94,3,97,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2307.087,20,5,0,100,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1587.912,49,42,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1522.633,23,163,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1503.468,34,144,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,2236.671,24,46,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1089.057,26,30,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,4322.481,21,59,0,100,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1463.812,37,55,0,100,Canada,Canada,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,No,I was raised with my native language only
APPROVED,76762.193,36,292,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
TIMED-OUT,76736.807307,21,114,2,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,4087.627,34,149,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1086.715,31,115,0,100,United Kingdom,United Kingdom,Full-Time,I know 2 or more languages in addition to English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2037.245,37,38,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Ambidextrous,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,849.131,50,48,2,97,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1242.77,33,67,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1931.57,27,63,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1733.14,27,275,2,100,Ireland,Ireland,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,998.482,39,38,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,744.254,28,137,2,99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3063.585,31,26,0,100,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
