,ppn,object,image,response,response_corrected,recognition_RT,first_key_RT,name_agreement,H_statistic,Normalised_H_statistic,unknown_osullivan_et_al,idiosyncratic_osullivan_et_al,nonobject_osullivan_et_al,physically_dissimilar,is_natural,is_modal,modalWordFreq,responseWordFreq,modalWordLength,responseWordLength,responseProductionFreq,responseProductionFreq_non_outlier,is_invalid,is_rt_outlier,not_in_subtlex_uk
16507,ppt_33,snowmobile,snowmobile_3.png,snowmobile,snowmobile,1300.7,76.79999995,31.25,2.859265829,0.797572033,0,0,0,0,0,1,2.04,2.04,10,10,10,10,0,0,0
16508,ppt_33,kiwi,kiwi_3.png,kiwi,kiwi,852.5,68.5999999,78.125,0.991251399,0.4956257,0,0,0,0,1,1,3.27,3.27,4,4,25,25,0,0,0
16509,ppt_33,steamroller,steamroller_3.png,vehicle,vehicle,1856.6,74.70000005,56.25,1.903601955,0.678076698,0,0,0,0,0,0,3.84,4.52,7,7,2,2,0,0,0
16510,ppt_33,eagle,eagle_2.png,eagle,eagle,565,69.20000005,62.5,1.724903441,0.667283739,0,0,0,0,1,1,4.11,4.11,5,5,20,20,0,0,0
16511,ppt_33,frying pan,frying pan_4.png,frying pan,frying pan,587.5999999,83.80000019,50,1.496696365,0.644592039,0,0,0,0,0,0,4.6,3.331219473,3,9,14,14,0,0,0
16512,ppt_33,spaniel,spaniel_4.png,dog,dog,806.2,90,75,1.076597656,0.538298828,0,0,0,0,1,1,5.17,5.17,3,3,24,24,0,0,0
16513,ppt_33,frogfish,frogfish_2.png,dk,NA,1520.4,61.20000005,34.375,NA,NA,0,0,0,0,NA,NA,4.81,NA,6,NA,11,11,1,1,1
16514,ppt_33,racecar,racecar_3.png,racecar,race car,708.9000001,91.5,56.25,2.080525687,0.693508562,0,0,0,0,0,0,5.44,2.695735726,3,7,5,4,0,0,0
16515,ppt_33,tyrannosaurus,tyrannosaurus_4.png,dinosaur,dinosaur,836.5,80.29999995,62.5,0.954434003,0.954434003,0,0,0,0,1,1,3.98,3.98,8,8,20,20,0,0,0
16516,ppt_33,siamese,siamese_1.png,cat,cat,541.2,80.0999999,96.875,0.200622324,0.200622324,0,0,0,0,1,1,4.83,4.83,3,3,31,31,0,0,0
16517,ppt_33,toucan,toucan_2.png,toucan,toucan,850.4000001,65.20000005,56.25,1.70037578,0.657795144,0,0,0,0,1,1,2.7,2.7,6,6,18,18,0,0,0
16518,ppt_33,sycamore,sycamore_2.png,tree,tree,751.5999999,85.70000005,93.75,0.399790067,0.252239448,0,0,0,0,1,1,4.95,4.95,4,4,30,30,0,0,0
16519,ppt_33,raspberry,raspberry_1.png,berry,berry,2000,70.5,71.875,1.35009961,0.581456253,0,0,0,0,1,0,3.81,3.8,9,5,4,4,0,0,0
16520,ppt_33,satchel,satchel_3.png,bag,bag,1210.8,81.9000001,65.625,1.226000285,0.613000142,0,0,0,0,0,1,4.89,4.89,3,3,21,21,0,0,0
16521,ppt_33,spaniel,spaniel_2.png,dog,dog,628.8,107.7,84.375,0.98806367,0.382235204,0,0,0,0,1,1,5.17,5.17,3,3,27,27,0,0,0
16522,ppt_33,shopping basket,shopping basket_4.png,basket,basket,574.5,78.79999995,75,1.076597656,0.538298828,0,0,0,0,0,1,4.16,4.16,6,6,24,23,0,0,0
16523,ppt_33,asparagus,asparagus_4.png,vegetable,NA,3283.6,85.30000019,75,1.186648326,0.511061617,0,0,0,0,1,0,3.88,4.18,9,9,1,1,0,1,0
16524,ppt_33,houseboat,houseboat_4.png,boat,boat,788.5,81.4000001,68.75,1.636960293,0.583097021,0,0,0,0,0,1,4.89,4.89,4,4,22,22,0,0,0
16525,ppt_33,lemon,lemon_4.png,lemon,lemon,495.7,72.5,87.5,0.731064443,0.365532222,0,0,0,0,1,1,4.46,4.46,5,5,28,28,0,0,0
16526,ppt_33,mouse,mouse_4.png,mouse,mouse,905.3,77,84.375,0.74832655,0.374163275,0,0,0,0,0,1,4.41,4.41,5,5,27,27,0,0,0
16527,ppt_33,oak,oak_2.png,tree,tree,572.7,65.5,90.625,0.597454723,0.298727362,0,0,0,0,1,1,4.95,4.95,4,4,29,28,0,0,0
16528,ppt_33,orange,orange_4.png,orange,orange,883.9000001,79.4000001,84.375,0.86306367,0.431531835,0,0,0,0,1,1,4.64,4.64,6,6,27,27,0,0,0
16529,ppt_33,excavator,excavator_3.png,construction vehicle,NA,5644.1,70.4000001,59.375,2.003695979,0.66789866,0,0,0,0,0,0,3.81,0.996765722,6,19,1,1,0,1,0
16530,ppt_33,ashtray,ashtray_1.png,ashtray,NA,2758.3,114.5,62.5,1.11607628,0.55803814,0,0,0,0,0,1,3.2,3.2,7,7,6,6,0,1,0
16531,ppt_33,sunflower,sunflower_3.png,sunflower,sunflower,666.2,58.29999995,78.125,1.009186087,0.504593043,0,0,0,0,1,1,3.55,3.55,9,9,25,25,0,0,0
16532,ppt_33,television,television_2.png,tv,tv,657.3,70.5999999,62.5,1.751614472,0.677616976,0,0,0,0,0,1,5.06,5.06,2,2,20,20,0,0,0
16533,ppt_33,coconut,coconut_4.png,coconut,coconut,1263.3,66.4000001,81.25,1.032302495,0.444588485,0,0,0,0,1,1,4.08,4.08,7,7,26,26,0,0,0
16534,ppt_33,kingfisher,kingfisher_1.png,bird,bird,743.3999999,73.5999999,59.375,1.22611342,0.773591438,0,0,0,0,1,1,4.85,4.85,4,4,19,19,0,0,0
16535,ppt_33,artichoke,artichoke_4.png,vegetable,vegetable,1451.5,100.5,28.125,2.707569654,0.854143127,0,0,0,0,1,0,3.13,4.18,9,9,3,3,0,0,0
16536,ppt_33,flowerpot,flowerpot_2.png,bucket,bucket,1119.1,43.5999999,40.625,2.158926511,0.71964217,0,0,0,0,0,0,4.76,4.21,3,6,1,1,0,0,0
16537,ppt_33,satchel,satchel_1.png,satchel,satchel,963.1000001,118,46.875,1.665341398,0.644241995,0,0,0,0,0,1,2.65,2.65,7,7,15,15,0,0,0
16538,ppt_33,dachshund,dachshund_2.png,dog,dog,750.0999999,62.5,84.375,0.98806367,0.382235204,0,0,0,0,1,1,5.17,5.17,3,3,27,26,0,0,0
16539,ppt_33,frog,frog_1.png,frog,frog,554.5999999,75.79999995,84.375,0.92556367,0.398618576,0,0,0,0,1,1,4.05,4.05,4,4,27,26,0,0,0
16540,ppt_33,peach,peach_4.png,fruit,fruit,1153.1,75,71.875,1.323388579,0.569952438,0,0,0,0,1,0,3.62,4.73,5,5,5,5,0,0,0
16541,ppt_33,lettuce,lettuce_1.png,lettuce,lettuce,826.3000002,76.70000005,87.5,0.547553155,0.345467577,0,0,0,0,1,1,3.81,3.81,7,7,28,28,0,0,0
16542,ppt_33,dragonfly,dragonfly_1.png,bug,bug,1230.3,69.70000005,68.75,1.224606936,0.612303468,0,0,0,0,1,0,3.2,4.07,9,3,2,2,0,0,0
16543,ppt_33,wallet,wallet_4.png,wallet,wallet,647.5,60.79999995,90.625,0.534954723,0.337518852,0,0,0,0,0,1,3.81,3.81,6,6,29,28,0,0,0
16544,ppt_33,coral,coral_2.png,sea creature,sea creature,1065.8,74.60000014,34.375,2.575360421,0.775260736,0,1,0,0,1,0,3.86,2.576549318,5,11,1,1,0,0,0
16545,ppt_33,puffball,puffball_2.png,dk,NA,4307.3,49.20000005,28.125,NA,NA,0,0,0,0,NA,NA,3.87,NA,8,NA,9,9,1,1,1
16546,ppt_33,seaturtle,seaturtle_2.png,turtle#,turtle,1289.1,78,87.5,0.731064443,0.365532222,0,0,0,0,1,1,3.64,3.64,6,6,28,28,0,0,0
16547,ppt_33,hatbox,hatbox_1.png,giftbox,gift box,1017.3,85.5,53.125,2.254643866,0.711260949,0,0,0,0,0,0,5.12,1.737128411,3,7,1,1,0,0,0
16548,ppt_33,canoe,canoe_2.png,canoe,canoe,744.3,57.5999999,50,1.748320381,0.676342647,0,0,0,0,0,1,3.5,3.5,5,5,16,15,0,0,0
16549,ppt_33,hazel,hazel_3.png,tree,tree,2166.6,77.79999995,100,0,0,0,0,0,0,1,1,4.95,4.95,4,4,32,32,0,0,0
16550,ppt_33,flytrap,flytrap_2.png,plant,plant,1897.3,100.7,43.75,2.476365862,0.745460405,0,0,0,0,1,0,2.358493558,4.81,12,5,6,6,0,0,0
17451,ppt_33,toucan,toucan_3.png,toucan,toucan,1107.2,64.79999995,57.57575758,2.125598264,0.670551594,0,0,0,0,1,1,2.7,2.7,6,6,19,18,0,0,0
17452,ppt_33,speedboat,speedboat_4.png,boat,boat,633.0999999,59.60000014,60.60606061,1.260692411,0.630346206,0,0,0,0,0,1,4.89,4.89,4,4,20,20,0,0,0
17453,ppt_33,beaker,beaker_4.png,cup,cup,626.5,73.10000014,33.33333333,2.772717851,0.749294155,0,0,0,0,0,0,4.27,5.09,4,3,11,10,0,0,0
17454,ppt_33,ferryboat,ferryboat_3.png,boat,boat,564.6000001,57.9000001,51.51515152,1.991424628,0.709359765,0,0,0,0,0,1,4.89,4.89,4,4,17,15,0,0,0
17455,ppt_33,saucepan,saucepan_2.png,saucepan,saucepan,722.7,83.9000001,45.45454545,1.722487788,0.741835112,0,0,0,0,0,0,4.6,3.17,3,8,12,12,0,0,0
17456,ppt_33,grinder,grinder_1.png,tool,tool,814.8,68.89999986,30.3030303,3.079228963,0.832125152,0,0,0,0,0,0,5.4,4.07,3,4,5,4,0,0,0
17457,ppt_33,bucket,bucket_1.png,bucket,bucket,588.2,54.4000001,84.84848485,0.904820246,0.389684869,0,0,0,0,0,1,4.21,4.21,6,6,28,28,0,0,0
17458,ppt_33,bin,bin_3.png,bin,bin,659.2,67.5,84.84848485,0.965426307,0.373477877,0,0,0,0,0,1,4.49,4.49,3,3,28,28,0,0,0
17459,ppt_33,chameleon,chameleon_4.png,lizard,lizard,938,55.0999999,42.42424242,2.13433276,0.760264669,0,0,0,0,1,0,3.35,3.73,9,6,10,10,0,0,0
17460,ppt_33,shoebox,shoebox_2.png,box,box,602.8000002,68,48.48484848,1.489758698,0.641604148,0,0,0,0,0,1,5.12,5.12,3,3,16,16,0,0,0
17461,ppt_33,chalice,chalice_3.png,goblet,goblet,647.2,70.5999999,39.39393939,2.127890138,0.757969761,0,0,0,0,0,1,3.22,3.22,6,6,13,12,0,0,0
17462,ppt_33,kingfisher,kingfisher_3.png,bird,bird,514.3000002,81.9000001,54.54545455,1.312140593,0.656070297,0,0,0,0,1,1,4.85,4.85,4,4,18,18,0,0,0
17463,ppt_33,clock,clock_3.png,clock,clock,514.4000001,54,90.90909091,0.583584487,0.291792243,0,0,0,0,0,1,4.89,4.89,5,5,30,30,0,0,0
17464,ppt_33,wheelchair,wheelchair_2.png,wheelchair,wheelchair,570.7,68.29999995,90.90909091,0.522978426,0.32996265,0,0,0,0,0,1,4.01,4.01,10,10,30,30,0,0,0
17465,ppt_33,zucchini,zucchini_2.png,courgette,courgette,639.5999999,72.20000005,63.63636364,1.570361222,0.607498647,0,0,0,0,1,1,3.35,3.35,9,9,21,21,0,0,0
17466,ppt_33,dachshund,dachshund_1.png,dog,dog,535.1000001,82,57.57575758,1.750915598,0.754078303,0,0,0,0,1,1,5.17,5.17,3,3,19,19,0,0,0
17467,ppt_33,tyrannosaurus,tyrannosaurus_3.png,dinosaur,dinosaur,571,87.70000005,60.60606061,0.967294779,0.967294779,0,0,0,0,1,1,3.98,3.98,8,8,20,18,0,0,0
17468,ppt_33,bin,bin_2.png,bin,bin,823.4000001,82.5999999,84.84848485,0.965426307,0.373477877,0,0,0,0,0,1,4.49,4.49,3,3,28,28,0,0,0
17469,ppt_33,vase,vase_4.png,vase,vase,648.9000001,81,93.93939394,0.390452131,0.246347867,0,0,0,0,0,1,4.27,4.27,4,4,31,30,0,0,0
17470,ppt_33,robin,robin_2.png,robin,robin,585.5,89.39999986,72.72727273,0.845350937,0.845350937,0,0,0,0,1,1,4.42,4.42,5,5,24,24,0,0,0
17471,ppt_33,labrador,labrador_3.png,dog,dog,522,66.29999995,81.81818182,0.911607375,0.455803688,0,0,0,0,1,1,5.17,5.17,3,3,27,27,0,0,0
17472,ppt_33,truffle,truffle_4.png,truffle,truffle,1097.4,70.29999995,27.27272727,2.636842188,0.878947396,0,0,0,0,1,1,3.6,3.6,7,7,8,7,0,0,0
17473,ppt_33,drum,drum_1.png,bin,bin,593,76.4000001,21.21212121,3.118102258,0.901333688,0,0,0,0,0,0,4.06,4.49,6,3,3,3,0,0,0
17474,ppt_33,glass,glass_1.png,glass,glass,707.7,92.29999995,81.81818182,1.032819496,0.444811146,0,0,0,0,0,1,4.92,4.92,5,5,27,27,0,0,0
17475,ppt_33,leek,leek_3.png,leek,leek,697.4000001,75.60000014,63.63636364,1.836869684,0.612289895,0,0,0,0,1,1,3.56,3.56,4,4,21,18,0,0,0
17476,ppt_33,carrot,carrot_2.png,carrots,carrot,534.7,89.20000005,90.90909091,0.439496987,0.439496987,0,0,0,0,1,1,4.08,4.08,6,6,30,30,0,0,0
17477,ppt_33,ostrich,ostrich_1.png,ostrich,ostrich,499.7,119.2,78.78787879,1.037987069,0.518993534,0,0,0,0,1,1,3.52,3.52,7,7,26,26,0,0,0
17478,ppt_33,birdhouse,birdhouse_3.png,birdhouse,birdhouse,1124.9,118.7,39.39393939,1.941245192,0.750976152,0,0,0,0,0,0,2.41173907,1.84,7,9,12,12,0,0,0
17479,ppt_33,grasshopper,grasshopper_1.png,bug,bug,547.3999999,116.3,27.27272727,2.255826952,0.872672989,0,0,0,0,1,0,2.91,4.07,11,3,2,2,0,0,0
17480,ppt_33,glider,glider_4.png,jet,jet,640,88.5999999,57.57575758,1.591972795,0.615859145,0,0,0,0,0,0,4.58,4.21,5,3,1,1,0,0,0
17481,ppt_33,orchid,orchid_4.png,orchid,orchid,532,63.39999986,60.60606061,1.271899886,0.635949943,0,0,0,0,1,0,4.5,3.31,6,6,11,11,0,0,0
17482,ppt_33,postbox,postbox_2.png,postbox,postbox,483,75.10000014,78.78787879,1.219805251,0.471885085,0,0,0,0,0,1,2.59,2.59,7,7,26,26,0,0,0
17483,ppt_33,airliner,airliner_3.png,plane,plane,563.5,81,57.57575758,1.734092672,0.617696273,0,0,0,0,0,1,4.58,4.58,5,5,19,19,0,0,0
17484,ppt_33,lily,lily_3.png,flower,flower,543.3,107.8,60.60606061,1.418398882,0.610871148,0,0,0,0,1,1,4.5,4.5,6,6,20,20,0,0,0
17485,ppt_33,leek,leek_4.png,leek,leek,650.3,80.0999999,69.6969697,1.418589105,0.610953073,0,0,0,0,1,1,3.56,3.56,4,4,23,22,0,0,0
17486,ppt_33,wine bottle,wine bottle_4.png,wine,wine,537.8000002,101.0999999,51.51515152,1.859651429,0.719411376,0,0,0,0,0,1,4.84,4.84,4,4,17,17,0,0,0
17487,ppt_33,wallet,wallet_3.png,wallet,wallet,635.3999999,69.5999999,96.96969697,0.195909271,0.195909271,0,0,0,0,0,1,3.81,3.81,6,6,32,31,0,0,0
17488,ppt_33,toolbox,toolbox_4.png,toolbox,toolbox,697.3,76.0999999,81.81818182,0.911607375,0.455803688,0,0,0,0,0,1,2.88,2.88,7,7,27,27,0,0,0
17489,ppt_33,lemon,lemon_3.png,lemon,lemon,567.9000001,70.20000005,90.90909091,0.583584487,0.291792243,0,0,0,0,1,1,4.46,4.46,5,5,30,30,0,0,0
17490,ppt_33,asparagus,asparagus_2.png,asparagus,asparagus,550.5,80.9000001,69.6969697,1.201509375,0.600754688,0,0,0,0,1,1,3.88,3.88,9,9,23,23,0,0,0
17491,ppt_33,tangerine,tangerine_3.png,orange,orange,543.3999999,87.5999999,87.87878788,0.714653245,0.357326622,0,0,0,0,1,1,4.64,4.64,6,6,29,28,0,0,0
17492,ppt_33,lotus,lotus_4.png,flower,flower,1128,66.5,75.75757576,1.238146248,0.533240565,0,0,0,0,1,1,4.5,4.5,6,6,25,25,0,0,0
17493,ppt_33,carrot,carrot_1.png,carrot,carrot,555.3,82.20000005,90.90909091,0.522978426,0.32996265,0,0,0,0,1,1,4.08,4.08,6,6,30,30,0,0,0
17494,ppt_33,tankard,tankard_1.png,mug,mug,794.8,88.9000001,36.36363636,2.714277362,0.817078903,0,0,0,0,0,0,3.14,3.93,7,3,6,6,0,0,0
